Tidsstempel,What alliance do you belong to? ,"If chosen ""Non of the above"" please type it here","What is your character name? 
(Note: Copy your name from your profile and paste it in the answer below.) 
(Pro Tip: Please do not change your character name after filling this form and before Friday of SvS preparation week.)
","What is your player ID?
(Note: Your ID must be a 8-9 digit number)
",Is this form a...,Do you want a Construction day appointment?,"How many hours of speedups do you plan to use on Construction day? 
(Note: Your response must be in hours. Add together amount of general speedup hours and construction speedup hours you are planning to use on this day.)
",How much truegold do you plan too spend?,"What times are you available for your Construction day appointment? (UTC time)
(Note: Choose a minimum of 5 times.)
",Do you want a Research day appointment?,"How many hours of speedups do you plan to use on Research day? 
(Note: Your response must be in hours. Add together amount of general speedup hours and research speedup hours you are planning to use during this day.)
",How much truegold dust do you plan too spend?,"What times are you available for your Research day appointment? (UTC time)
(Note: Choose a minimum of 5 times.)
",Do you want a Troops Training day appointment?,"How many hours of speedups do you plan to use on Troops Training day? 
(Note: Your response must be in hours. Add together amount of general speedup hours and troops training speedup hours you are planning to use during this day.)
","What times are you available for your Troops Training day appointment? (UTC time)
(Note: Choose a minimum of 5 times.)
","Please share any additional notes, clarifications, or comments about your responses on this form.",What suggestions do you have for improving our state? We value your feedback!
25/12/2025 03.29.33,TCM,,Bunny,39874858,New submission,No,,,,Yes,2100,6159,23:15,No,,,"I will have more dust and speed ups by Monday, I only included what’s currently in my bag ",
25/12/2025 03.31.05,TCM,,Hackattack,41267428,New submission,Yes,400,3000,"00:00 (Note: Starts 15 minutes before Construction day, you will only have 15 minutes.), 00:15, 00:45, 01:15, 01:45, 02:15",Yes,600,1000,"00:15, 00:45, 01:15, 01:45, 02:15",No,,,,
25/12/2025 03.51.00,TCM,,LionessKat,41906431,New submission,Yes,1076,1600,"01:15, 01:45, 02:15, 02:45, 03:15",Yes,260,1600,"01:15, 01:45, 02:15, 02:45, 03:15",Yes,400,"01:15, 01:45, 02:15, 02:45, 03:15",,
25/12/2025 03.53.03,APX,,Tugboat,38383718,New submission,Yes,875,1500,"00:00 (Note: Starts 15 minutes before Construction day, you will only have 15 minutes.), 00:15, 00:45, 01:15, 01:45, 02:15, 02:45, 03:15, 03:45, 04:15, 04:45, 14:15, 14:45, 15:15, 15:45, 16:15, 16:45, 17:15, 17:45, 18:15, 18:45, 19:15, 19:45, 20:15, 20:45, 21:15, 21:45",Yes,740,700,"00:00 (Note: Choose if you can do 15 minutes construction and 15 minutes research.), 00:15, 00:45, 01:15, 01:45, 02:15, 02:45, 03:15, 03:45, 04:15, 04:45, 14:15, 14:45, 15:15, 15:45, 16:15, 16:45, 17:15, 17:45, 18:15, 18:45, 19:15, 19:45, 20:15, 20:45, 21:15, 21:45, 22:15, 22:45",Yes,700,"00:00 (Note: Starts 15 minutes before Troops Training day, you will only have 15 minutes.), 00:15, 00:45, 01:15, 01:45, 02:15, 02:45, 03:15, 03:45, 04:15, 04:45, 14:15, 14:45, 15:15, 15:45, 16:15, 16:45, 17:15, 17:45, 18:15, 18:45, 19:15, 19:45, 20:15, 20:45, 21:15, 21:45, 22:15, 22:45",,
25/12/2025 03.53.52,DFM,,OkernRules ,39940024,New submission,Yes,1000,2500,"00:00 (Note: Starts 15 minutes before Construction day, you will only have 15 minutes.), 00:15, 00:45, 01:15, 01:45, 02:15, 02:45, 03:15, 18:15, 18:45, 19:15, 19:45, 20:15, 20:45, 21:15, 21:45, 22:15, 22:45, 23:15, 23:45 (Note: Choose if you can do 15 minutes construction and 15 minutes research.)",Yes,7000,13000,"00:00 (Note: Choose if you can do 15 minutes construction and 15 minutes research.), 00:15, 00:45, 01:15, 01:45, 02:15, 02:45, 03:15, 18:15, 18:45, 19:15, 19:45, 20:15, 20:45, 21:15, 21:45, 22:15, 22:45, 23:15, 23:45 (Note: You will only have 15 minutes.)",Yes,700,"00:00 (Note: Starts 15 minutes before Troops Training day, you will only have 15 minutes.), 00:15, 00:45, 01:15, 01:45, 02:15, 02:45, 03:15, 18:15, 18:45, 19:15, 19:45, 20:15, 20:45, 21:15, 21:45, 22:15, 22:45, 23:15, 23:45 (Note: You will only have 15 minutes.)",Will max the War academy to TG5 and get lvl 11 infantry. Hopefully promote all lvl 10 infantry to lvl 11.,
25/12/2025 04.24.08,APX,,WOLF°ING,25981176,Re-Submission,Yes,240,200,"00:00 (Note: Starts 15 minutes before Construction day, you will only have 15 minutes.), 00:15, 12:15, 21:15, 21:45",No,,,,No,,,,Un poco más de paciencia con los que no sabemos usar bien los comandantes 🙈
25/12/2025 06.29.49,TCM,,Loquat,38056133,New submission,No,,,,Yes,3283,1000,"00:15, 00:45, 01:15, 01:45, 02:15, 02:45, 03:15, 03:45, 04:15, 04:45, 05:15, 15:15, 15:45, 16:15, 16:45, 17:15, 17:45, 18:15, 18:45, 19:15, 19:45, 20:15, 20:45, 21:15, 21:45, 22:15, 22:45",No,,,I'd prefer just after reset at the start of the day if possible in those slots before I sleep vs doing it on the back end. If not no worries I'll cope ,
25/12/2025 09.03.31,APX,,Technicolor,31352021,New submission,Yes,200,580,"08:45, 09:15, 09:45, 10:15, 10:45",Yes,200,340,"08:15, 08:45, 09:15, 09:45, 10:15",Yes,50,"08:45, 09:15, 09:45, 10:15, 10:45",,
25/12/2025 09.42.12,TCM,,Thaloryn,41742675,New submission,Yes,600,1400,"01:45, 02:15, 02:45, 03:15, 03:45, 04:15, 06:15, 06:45, 07:15, 07:45, 08:15, 08:45, 09:15, 09:45, 10:15, 10:45, 11:15, 11:45, 12:15, 12:45, 13:15",Yes,420,1232,"01:15, 01:45, 02:15, 04:15, 06:15, 06:45, 07:15, 07:45, 08:15, 08:45, 09:15, 09:45, 10:15, 10:45, 11:15, 11:45, 12:15, 12:45, 13:15",Yes,710,"01:45, 02:15, 02:45, 03:15, 03:45, 04:15, 06:15, 06:45, 07:15, 07:45, 08:15, 08:45, 09:15, 09:45, 10:15, 10:45, 11:15, 11:45, 12:15, 12:45, 13:15",,
25/12/2025 09.46.09,GUN,,Kaevor,62816151,New submission,Yes,550,1500,"01:45, 02:15, 02:45, 03:15, 03:45, 04:15, 06:15, 06:45, 07:15, 07:45, 08:15, 08:45, 09:15, 09:45, 10:15, 10:45, 11:15, 11:45, 12:15, 12:45, 13:15",Yes,400,1232,"00:45, 01:15, 01:45, 02:15, 04:15, 06:15, 06:45, 07:15, 07:45, 08:15, 08:45, 09:15, 09:45, 10:15, 11:45, 12:15, 12:45, 13:15, 13:45",Yes,550,"01:45, 02:15, 02:45, 03:15, 03:45, 04:15, 06:15, 06:45, 07:15, 07:45, 08:15, 08:45, 09:15, 09:45, 10:15, 10:45, 11:15, 11:45, 12:15, 12:45, 13:15",,
25/12/2025 13.56.02,ASC,,Aliothman,39661247,Re-Submission,Yes,50,100,"06:15, 06:45, 07:15, 11:45, 12:15, 23:45 (Note: Choose if you can do 15 minutes construction and 15 minutes research.)",Yes,50,100,"06:15, 06:45, 07:15, 12:15, 12:45, 23:45 (Note: You will only have 15 minutes.)",Yes,100,"06:15, 06:45, 07:15, 12:15, 12:45, 23:45 (Note: You will only have 15 minutes.)",no,no
25/12/2025 15.11.56,TCM,,Poora1m,39317456,New submission,Yes,296,1031,"16:15, 16:45, 17:15, 17:45, 18:15",Yes,656,370,"16:15, 16:45, 17:15, 17:45, 18:15",Yes,465,"16:15, 16:45, 17:15, 17:45, 18:15",,
25/12/2025 15.30.34,APX,,Mili,39334123,New submission,Yes,270,500,"02:15, 02:45, 03:15, 03:45, 08:15, 08:45, 09:15",Yes,300,0,"02:15, 02:45, 03:15, 03:45, 08:15, 08:45, 09:15",Yes,800,"02:15, 02:45, 03:15, 03:45, 08:15, 08:45, 09:15",,
25/12/2025 16.56.31,TCM,,Chernabog,37892258,New submission,No,,,,Yes,1000,1000,"00:15, 17:15, 17:45, 18:15, 18:45, 19:15, 19:45, 20:15, 20:45, 21:15, 21:45, 22:15, 22:45, 23:15",Yes,1000,"17:15, 17:45, 18:15, 18:45, 19:15, 19:45, 20:15, 20:45, 21:15, 21:45, 22:15, 22:45, 23:15, 23:45 (Note: You will only have 15 minutes.)",1st choice is research to increase my power,None 
